Model,Attack,Severity,Accuracy
Classic_ResNet,Gaussian_Noise,0.0,99.995
Quantum_ResNet,Gaussian_Noise,0.0,99.995
Classic_ResNet,Gaussian_Noise,0.2,97.8825
Quantum_ResNet,Gaussian_Noise,0.2,99.9875
Classic_ResNet,Gaussian_Noise,0.4,61.0625
Quantum_ResNet,Gaussian_Noise,0.4,90.455
Classic_ResNet,Gaussian_Noise,0.6,49.725
Quantum_ResNet,Gaussian_Noise,0.6,52.3225
Classic_ResNet,Gaussian_Noise,0.8,49.6975
Quantum_ResNet,Gaussian_Noise,0.8,49.845
Classic_ResNet,Gaussian_Noise,1.0,49.6975
Quantum_ResNet,Gaussian_Noise,1.0,55.6275
Classic_ResNet,Occlusion,0.0,99.995
Quantum_ResNet,Occlusion,0.0,99.995
Classic_ResNet,Occlusion,20.0,99.7925
Quantum_ResNet,Occlusion,20.0,99.8375
Classic_ResNet,Occlusion,40.0,98.4375
Quantum_ResNet,Occlusion,40.0,99.1925
Classic_ResNet,Occlusion,60.0,98.42
Quantum_ResNet,Occlusion,60.0,97.8125
Classic_ResNet,Occlusion,80.0,97.4175
Quantum_ResNet,Occlusion,80.0,96.595
Classic_ResNet,Occlusion,100.0,94.2375
Quantum_ResNet,Occlusion,100.0,95.255
